MX.5P_brkpt,MX.5P_up,Fournier Coeff,MEAN P,S DEV P,SKEW P,P(W/W),P(W/D),Elev,Lat,Coastal Prox,Month
3.05,1.71,9.16,2.79,4.14,2.53,0.53,0.11,695.6,34.99,122.79,1
3.31,2.05,9.16,2.86,4.63,1.99,0.25,0.11,695.6,34.99,122.79,2
1.48,0.71,9.16,3.49,3.78,1.01,0.12,0.03,695.6,34.99,122.79,3
2.86,0.7,9.16,2.42,1.98,1.08,0.17,0.02,695.6,34.99,122.79,4
2.55,0.46,9.16,1.91,0.9,0,0,0.01,695.6,34.99,122.79,5
12.52,2.23,9.16,5.71,7.36,0,0,0.01,695.6,34.99,122.79,7
7.51,1.3,9.16,5.8,7.93,0.65,0.5,0.01,695.6,34.99,122.79,10
1.42,0.64,9.16,0.99,0.84,0.25,0.17,0.02,695.6,34.99,122.79,11
2.22,0.96,9.16,2.46,2.29,1.23,0.33,0.04,695.6,34.99,122.79,12
2.4,1.39,7.45,3.05,3.52,2.07,0.36,0.07,584.59,34.85,171.21,1
2.43,1.66,7.45,3.65,5.7,3.05,0.17,0.08,584.59,34.85,171.21,2
2.37,1.36,7.45,2.07,2.8,1.51,0.07,0.04,584.59,34.85,171.21,3
3.78,0.84,7.45,2.68,2.01,0.46,0.2,0.03,584.59,34.85,171.21,4
1.35,0.38,7.45,1.69,2.82,1.53,0.17,0.02,584.59,34.85,171.21,5
2.8,1.53,7.45,1.75,1.94,1.79,0.4,0.04,584.59,34.85,171.21,7
12.9,3.19,7.45,4.13,5.96,1.75,0.19,0.04,584.59,34.85,171.21,8
3.39,1.24,7.45,3.84,4.43,1.12,0.38,0.02,584.59,34.85,171.21,9
4.27,1.22,7.45,3.45,4.82,1.69,0.47,0.02,584.59,34.85,171.21,10
2.99,1.05,7.45,3.74,5.96,1.91,0.29,0.04,584.59,34.85,171.21,11
2.71,1.52,7.45,5.18,6.23,1.58,0.32,0.07,584.59,34.85,171.21,12
3.93,2,10.75,5.18,8.09,3.24,0.46,0.06,120.34,33.62,206.79,1
2.74,1.58,10.75,3.99,6.08,2.14,0.23,0.08,120.34,33.62,206.79,2
3.66,1.3,10.75,6.58,6.54,0.68,0.33,0.01,120.34,33.62,206.79,3
1.56,0.26,10.75,1.23,1,0.96,0,0.02,120.34,33.62,206.79,4
2.27,0.51,10.75,2.87,3.77,1.29,0.4,0.02,120.34,33.62,206.79,5
3.29,0.4,10.75,0.64,0.54,0,0,0.01,120.34,33.62,206.79,6
10.62,4.9,10.75,6.84,10.04,2.42,0.35,0.04,120.34,33.62,206.79,7
12.45,4.68,10.75,2.48,3.01,1.33,0.21,0.06,120.34,33.62,206.79,8
2.6,1.27,10.75,1.72,1.77,1.35,0.3,0.05,120.34,33.62,206.79,9
6.8,2.37,10.75,2.32,2.36,0.81,0.41,0.03,120.34,33.62,206.79,10
4.43,1.11,10.75,3.02,4.82,2.03,0.47,0.03,120.34,33.62,206.79,11
5.25,3.71,10.75,5.47,7.47,2.11,0.36,0.07,120.34,33.62,206.79,12
7.58,4.22,21.01,8.67,12.01,2.92,0.33,0.09,25.03,34.22,12,1
6.75,4.19,21.01,7.17,8.23,1.93,0.32,0.1,25.03,34.22,12,2
13.98,6.93,21.01,6.61,14.39,3.56,0.43,0.05,25.03,34.22,12,3
8.34,3.32,21.01,5.84,7.49,1.31,0.24,0.04,25.03,34.22,12,4
3.43,1.21,21.01,1.33,1.68,1.58,0.11,0.02,25.03,34.22,12,5
3.35,0.28,21.01,4.06,4.31,0,0,0.01,25.03,34.22,12,7
0.38,0.08,21.01,0.42,0.15,-0.58,0,0.01,25.03,34.22,12,8
1.26,0.36,21.01,1.74,3.51,1.63,0,0.02,25.03,34.22,12,9
3.77,1.22,21.01,3.48,4.92,1.48,0.21,0.03,25.03,34.22,12,10
8.46,4.05,21.01,5.17,5.96,1.33,0.22,0.07,25.03,34.22,12,11
9.9,5.34,21.01,5.77,8.69,3.13,0.27,0.12,25.03,34.22,12,12
8.17,4.44,22.86,8.24,11.9,2.94,0.45,0.09,191.61,33.98,47.85,1
8.14,4.91,22.86,5.49,8.13,2.98,0.37,0.14,191.61,33.98,47.85,2
4.32,2.5,22.86,3.77,3.95,1.45,0.24,0.05,191.61,33.98,47.85,3
3.7,1.77,22.86,2.43,2.93,1.35,0.15,0.05,191.61,33.98,47.85,4
4.51,2.23,22.86,5.73,5.76,0.84,0.35,0.04,191.61,33.98,47.85,5
16.32,3.17,22.86,5.59,6.5,0.89,0.25,0.01,191.61,33.98,47.85,7
0.59,0.11,22.86,0.68,0.39,-0.31,0,0.01,191.61,33.98,47.85,8
2.54,0.54,22.86,5.4,8.77,0.99,0,0.01,191.61,33.98,47.85,9
5.41,1.68,22.86,2.43,3.36,3.41,0.38,0.04,191.61,33.98,47.85,10
4.66,2.56,22.86,3.25,6.04,3.02,0.17,0.09,191.61,33.98,47.85,11
8.06,4.82,22.86,7.73,11.23,2.25,0.33,0.11,191.61,33.98,47.85,12
2,0.57,40.07,2.19,2.47,1.56,0.12,0.02,990.61,32.33,781.08,1
3.02,1.42,40.07,4.78,6.19,2.12,0.33,0.04,990.61,32.33,781.08,2
9.93,3.36,40.07,5.48,15.59,3.12,0.29,0.03,990.61,32.33,781.08,3
5.65,2.77,40.07,3.26,4.22,1.56,0.22,0.04,990.61,32.33,781.08,4
14.09,7.17,40.07,8.68,11.93,1.55,0.41,0.06,990.61,32.33,781.08,5
13.41,7.13,40.07,5.65,6.9,1.81,0.41,0.11,990.61,32.33,781.08,6
20.23,10.56,40.07,9.43,11.54,1.96,0.38,0.16,990.61,32.33,781.08,7
20.77,10.77,40.07,7.69,11.55,2.53,0.47,0.15,990.61,32.33,781.08,8
22.07,12.5,40.07,9.29,12.35,2.04,0.45,0.1,990.61,32.33,781.08,9
6.13,2.99,40.07,4.14,4.89,2.19,0.37,0.06,990.61,32.33,781.08,10
3.69,1.07,40.07,3.41,3.24,0.68,0.42,0.03,990.61,32.33,781.08,11
5.46,3.22,40.07,4.9,5.73,1.68,0.39,0.07,990.61,32.33,781.08,12
7.47,3.92,74.34,3.81,8.37,3.92,0.3,0.09,280.75,36.77,785.32,1
8.57,5.32,74.34,5.15,8.3,2.89,0.5,0.24,280.75,36.77,785.32,2
19.18,11.86,74.34,7.43,12.06,3.27,0.45,0.2,280.75,36.77,785.32,3
20.96,12,74.34,8.69,11.15,1.98,0.55,0.25,280.75,36.77,785.32,4
38.75,19.37,74.34,10.71,12.53,2.27,0.52,0.23,280.75,36.77,785.32,5
33.48,17.92,74.34,11.78,11.19,1.5,0.33,0.15,280.75,36.77,785.32,6
30.76,20.29,74.34,11.44,15.77,1.93,0.38,0.16,280.75,36.77,785.32,7
43.12,23.97,74.34,11,18.66,3.87,0.46,0.19,280.75,36.77,785.32,8
20.41,12.77,74.34,10.02,18.3,3.2,0.37,0.16,280.75,36.77,785.32,9
26.7,16.39,74.34,9.96,15.77,2.89,0.38,0.2,280.75,36.77,785.32,10
12.96,7.58,74.34,7.34,9.51,1.82,0.44,0.16,280.75,36.77,785.32,11
6.4,4.21,74.34,4.45,4.73,1.57,0.32,0.14,280.75,36.77,785.32,12
4.23,2.96,26.85,4.86,6.87,2.47,0.47,0.17,6.04,37.99,6.49,1
5.69,3.74,26.85,4.67,6.19,2.46,0.57,0.18,6.04,37.99,6.49,2
4.5,2.92,26.85,3.69,4,1.4,0.46,0.08,6.04,37.99,6.49,3
5.57,3.32,26.85,3.74,4.5,2.07,0.32,0.09,6.04,37.99,6.49,4
1.98,0.71,26.85,1.8,2.14,2.32,0.2,0.03,6.04,37.99,6.49,5
1.85,0.19,26.85,3.51,3.54,0.4,0.4,0.01,6.04,37.99,6.49,6
2.45,0.26,26.85,3.17,3.41,0,0,0.01,6.04,37.99,6.49,9
4.1,2.56,26.85,4.22,5.54,2.43,0.49,0.13,6.04,37.99,6.49,10
5.36,3.37,26.85,2.64,5.02,3.78,0.25,0.17,6.04,37.99,6.49,11
6.34,4.21,26.85,4.77,7.71,3.33,0.45,0.12,6.04,37.99,6.49,12
1.85,1.3,14.55,1.93,1.81,1.18,0.47,0.07,1387.19,38.75,876.88,1
2.45,1.55,14.55,2.08,2.51,2.42,0.27,0.1,1387.19,38.75,876.88,2
3.53,2.11,14.55,1.87,2.75,2.49,0.22,0.07,1387.19,38.75,876.88,3
3.66,2.12,14.55,1.96,1.8,0.88,0.33,0.09,1387.19,38.75,876.88,4
5.77,2.78,14.55,2.83,3.84,3.47,0.5,0.11,1387.19,38.75,876.88,5
8.17,2.21,14.55,4.54,5.68,2.29,0.5,0.03,1387.19,38.75,876.88,6
11.22,5.6,14.55,2.48,3.32,3.88,0.66,0.1,1387.19,38.75,876.88,7
6.98,3.8,14.55,2.84,3.62,3.11,0.51,0.13,1387.19,38.75,876.88,8
16.27,7.25,14.55,4.15,7.28,5.4,0.49,0.11,1387.19,38.75,876.88,9
6.62,3.68,14.55,4.01,5.17,2.26,0.39,0.1,1387.19,38.75,876.88,10
3.49,1.81,14.55,2.66,3.1,2.38,0.46,0.07,1387.19,38.75,876.88,11
2.71,1.9,14.55,2.92,3.59,1.88,0.35,0.11,1387.19,38.75,876.88,12
2.03,1.33,44.22,2.87,3.65,1.31,0.24,0.06,403.26,39.29,1075.78,1
3.87,2.78,44.22,3.43,3.88,1.04,0.17,0.09,403.26,39.29,1075.78,2
6.42,4.15,44.22,4.48,5.52,2.81,0.4,0.15,403.26,39.29,1075.78,3
9.93,4.78,44.22,5.53,7.14,1.94,0.32,0.14,403.26,39.29,1075.78,4
23.52,14.04,44.22,8.73,11.73,1.94,0.43,0.15,403.26,39.29,1075.78,5
31.61,18.49,44.22,12.69,19.46,2.4,0.3,0.14,403.26,39.29,1075.78,6
15.59,8.01,44.22,3.81,4.63,1.71,0.44,0.21,403.26,39.29,1075.78,7
36.91,21.15,44.22,11.08,20.55,2.7,0.28,0.19,403.26,39.29,1075.78,8
23.24,12.31,44.22,6.4,11.93,2.81,0.38,0.18,403.26,39.29,1075.78,9
10.91,5.63,44.22,4.99,7.79,2.08,0.5,0.09,403.26,39.29,1075.78,10
14.63,5.62,44.22,6.5,8.47,1.25,0.32,0.06,403.26,39.29,1075.78,11
7.75,4.32,44.22,7.93,15.03,3.45,0.36,0.1,403.26,39.29,1075.78,12
1.14,0.91,58.45,1.35,1.35,1.52,0.33,0.2,514.15,43.77,1550.94,1
3.67,2.9,58.45,2.78,3.95,2.19,0.51,0.18,514.15,43.77,1550.94,2
9.48,4.94,58.45,3.29,4.93,2.37,0.33,0.23,514.15,43.77,1550.94,3
10.73,6.73,58.45,5.51,7.47,2.11,0.43,0.28,514.15,43.77,1550.94,4
23.3,11.52,58.45,5.81,7.87,1.97,0.53,0.31,514.15,43.77,1550.94,5
39.74,22.25,58.45,11.75,17.93,1.95,0.46,0.23,514.15,43.77,1550.94,6
28.27,12.93,58.45,6.98,12.22,3.12,0.33,0.21,514.15,43.77,1550.94,7
27.28,14.53,58.45,9.39,20.1,4.23,0.28,0.21,514.15,43.77,1550.94,8
10.09,5.24,58.45,4.45,8.17,2.9,0.36,0.17,514.15,43.77,1550.94,9
6.85,4.03,58.45,6.95,10.34,1.8,0.46,0.15,514.15,43.77,1550.94,10
2.45,1.64,58.45,1.66,2.49,3.05,0.25,0.11,514.15,43.77,1550.94,11
8.74,4.86,58.45,2.77,4.94,3.93,0.4,0.18,514.15,43.77,1550.94,12
2.51,1.72,53.83,4.07,6.63,2.58,0.33,0.09,594.06,34.43,720.79,1
5.3,3.1,53.83,5.49,8.86,3.31,0.21,0.11,594.06,34.43,720.79,2
8.63,5.32,53.83,5.78,7.02,1.79,0.45,0.1,594.06,34.43,720.79,3
24.93,13.05,53.83,9.98,13.95,2.44,0.31,0.18,594.06,34.43,720.79,4
28.2,15.31,53.83,11.57,16.5,2.38,0.36,0.18,594.06,34.43,720.79,5
39.07,19.82,53.83,11.56,14.67,2.05,0.39,0.17,594.06,34.43,720.79,6
20.87,11.99,53.83,8.62,12.17,2.34,0.32,0.15,594.06,34.43,720.79,7
28.84,15.51,53.83,9.09,11.63,2.38,0.45,0.14,594.06,34.43,720.79,8
21.31,13.3,53.83,7.83,13.13,3.64,0.38,0.19,594.06,34.43,720.79,9
17.98,11.19,53.83,8.63,14.39,2.03,0.42,0.11,594.06,34.43,720.79,10
8.1,5.63,53.83,6.96,12.19,3.11,0.29,0.07,594.06,34.43,720.79,11
7.24,4.48,53.83,4.02,6.23,2.18,0.36,0.1,594.06,34.43,720.79,12
11.17,8,26.64,4.18,6.25,2.44,0.44,0.15,95.88,33.13,4.47,1
9.77,5.12,26.64,5.13,11.06,3.95,0.4,0.17,95.88,33.13,4.47,2
4.78,3.45,26.64,2.23,4.18,2.27,0.22,0.1,95.88,33.13,4.47,3
3.3,2.28,26.64,3.02,3.51,1.37,0.19,0.08,95.88,33.13,4.47,4
3.08,1.41,26.64,2.76,4.54,2.09,0.39,0.04,95.88,33.13,4.47,5
0.43,0.11,26.64,0.57,0.48,0.83,0,0.01,95.88,33.13,4.47,6
1.44,0.44,26.64,2.85,3.24,0.84,0.5,0.02,95.88,33.13,4.47,7
1.18,0.21,26.64,0.89,0.53,0,0,0.01,95.88,33.13,4.47,8
1.17,0.68,26.64,1.36,2.2,2.89,0.25,0.09,95.88,33.13,4.47,9
5.23,2.56,26.64,2.64,4.9,3.69,0.34,0.11,95.88,33.13,4.47,10
6.94,3.9,26.64,3.77,7.78,4.07,0.35,0.14,95.88,33.13,4.47,11
8.79,5.18,26.64,6.51,11.45,2.53,0.43,0.15,95.88,33.13,4.47,12
33.11,19.37,127.41,17.68,25.13,2.95,0.25,0.23,12.68,30.07,19.58,1
20.17,10.85,127.41,7.31,9.91,1.74,0.35,0.21,12.68,30.07,19.58,2
37.98,17.95,127.41,11.26,16.91,2.32,0.33,0.2,12.68,30.07,19.58,3
39.82,24.36,127.41,15.74,34.17,2.93,0.31,0.14,12.68,30.07,19.58,4
53.78,27.84,127.41,16.62,24.11,2.04,0.5,0.12,12.68,30.07,19.58,5
41.03,19.95,127.41,12.58,21.38,3.5,0.51,0.26,12.68,30.07,19.58,6
44.35,25.15,127.41,14.31,15.8,1.42,0.53,0.37,12.68,30.07,19.58,7
57.14,36.47,127.41,15.59,32.07,5.99,0.6,0.44,12.68,30.07,19.58,8
46.42,25.4,127.41,9.54,17.67,3.59,0.48,0.27,12.68,30.07,19.58,9
21.78,11.75,127.41,6.08,8.82,2.23,0.55,0.16,12.68,30.07,19.58,10
13.47,8.2,127.41,6.23,11.16,3.1,0.23,0.16,12.68,30.07,19.58,11
21.11,12.19,127.41,8.39,10.79,1.33,0.34,0.22,12.68,30.07,19.58,12
10.67,6.15,67.18,5.85,9.22,2.27,0.47,0.13,385.87,30.74,270.77,1
13.17,7.04,67.18,6.28,9.57,2.1,0.28,0.1,385.87,30.74,270.77,2
25.83,12.81,67.18,10.71,15.57,2.69,0.51,0.14,385.87,30.74,270.77,3
26.23,12.88,67.18,6.21,8.37,2.02,0.35,0.18,385.87,30.74,270.77,4
47.4,24,67.18,12.38,15.21,1.84,0.41,0.19,385.87,30.74,270.77,5
31.28,14.82,67.18,10.13,19.71,4.35,0.46,0.13,385.87,30.74,270.77,6
25,11.14,67.18,7.18,8.87,1.77,0.57,0.1,385.87,30.74,270.77,7
20.66,9.85,67.18,10.41,14.58,2.74,0.53,0.13,385.87,30.74,270.77,8
33.55,18.08,67.18,9.8,16.05,2.68,0.55,0.14,385.87,30.74,270.77,9
32.83,17.85,67.18,16.3,25.68,2.46,0.49,0.12,385.87,30.74,270.77,10
15.19,7.48,67.18,7.64,11.11,1.95,0.49,0.12,385.87,30.74,270.77,11
9.57,5.99,67.18,4.1,5.91,2.59,0.39,0.12,385.87,30.74,270.77,12
4.88,2.28,32.02,4.66,5.18,1.22,0.29,0.07,701.89,30.05,517.11,1
8.86,5.54,32.02,4.57,6.62,2.04,0.32,0.1,701.89,30.05,517.11,2
12.85,7.19,32.02,8.1,11.42,1.61,0.28,0.07,701.89,30.05,517.11,3
11.39,5.5,32.02,4.58,5.59,1.55,0.41,0.07,701.89,30.05,517.11,4
19.72,11.45,32.02,6.63,10,2.06,0.37,0.13,701.89,30.05,517.11,5
23.09,11.96,32.02,6.17,8.74,2.8,0.46,0.13,701.89,30.05,517.11,6
18.58,9.97,32.02,10.29,15.53,2.28,0.49,0.08,701.89,30.05,517.11,7
19.03,10.7,32.02,5.23,7.39,2.21,0.5,0.14,701.89,30.05,517.11,8
16.47,8.41,32.02,6.29,8.39,1.78,0.44,0.14,701.89,30.05,517.11,9
16.11,7.48,32.02,6.9,9.63,2.53,0.38,0.09,701.89,30.05,517.11,10
3.23,1.31,32.02,3.7,5.84,2.79,0.35,0.05,701.89,30.05,517.11,11
3.45,2.09,32.02,2.48,3.21,1.71,0.26,0.07,701.89,30.05,517.11,12
5.81,3.34,22.94,4.89,6.95,1.96,0.4,0.1,482.21,33.41,2,1
6.2,4.03,22.94,5.53,9.52,3.69,0.49,0.15,482.21,33.41,2,2
5.13,3,22.94,3.56,5.86,2.21,0.44,0.09,482.21,33.41,2,3
5.01,3.07,22.94,3.15,4.57,2.33,0.43,0.11,482.21,33.41,2,4
2.82,1.74,22.94,1.54,2.16,3.08,0.51,0.08,482.21,33.41,2,5
0.57,0.25,22.94,0.51,0.4,1.65,0.29,0.07,482.21,33.41,2,6
1.73,0.31,22.94,1.52,2.43,1.88,0.33,0.02,482.21,33.41,2,7
0.25,0.02,22.94,0.25,0,0,0.25,0.02,482.21,33.41,2,8
3.39,0.7,22.94,3.23,7.76,1.89,0.14,0.02,482.21,33.41,2,9
2.11,1,22.94,1.58,2.28,2.48,0.41,0.05,482.21,33.41,2,10
6.61,3.64,22.94,3.68,5.84,1.82,0.27,0.07,482.21,33.41,2,11
8.71,5.01,22.94,5.7,8.06,2.16,0.43,0.1,482.21,33.41,2,12
0.98,0.7,40.37,0.94,1.16,2.99,0.29,0.06,1003.03,42.84,1566.56,1
1.7,1.22,40.37,1.46,1.5,1.61,0.25,0.16,1003.03,42.84,1566.56,2
4.91,3.09,40.37,4.25,6.48,2.44,0.27,0.14,1003.03,42.84,1566.56,3
7.44,4.25,40.37,5.09,5.36,1.25,0.49,0.25,1003.03,42.84,1566.56,4
15.74,8.44,40.37,5.9,8.12,2.73,0.54,0.28,1003.03,42.84,1566.56,5
24.22,12.05,40.37,4.9,7.07,2.37,0.46,0.29,1003.03,42.84,1566.56,6
17.17,8.67,40.37,3.84,5.19,2.33,0.49,0.17,1003.03,42.84,1566.56,7
12.55,6.32,40.37,3.96,4.87,2.34,0.5,0.18,1003.03,42.84,1566.56,8
10.57,5.18,40.37,4.15,6.78,4.13,0.52,0.13,1003.03,42.84,1566.56,9
4.21,2.67,40.37,3.2,4.1,2.09,0.36,0.18,1003.03,42.84,1566.56,10
1.94,1.48,40.37,2.65,2.67,1.74,0.32,0.08,1003.03,42.84,1566.56,11
1.22,0.89,40.37,1.49,1.4,1.52,0.26,0.08,1003.03,42.84,1566.56,12
25.89,14.03,95.73,10.84,16.24,2.47,0.4,0.17,88.8,31.04,60.39,1
39.53,21.91,95.73,15.35,22.89,3.21,0.3,0.22,88.8,31.04,60.39,2
32.42,18.96,95.73,15.53,32.93,6.13,0.43,0.17,88.8,31.04,60.39,3
24.34,14.83,95.73,12.66,20.41,2.55,0.27,0.14,88.8,31.04,60.39,4
32.51,17.19,95.73,10.88,13.91,1.6,0.39,0.18,88.8,31.04,60.39,5
30.54,19.19,95.73,9.37,13.43,2.31,0.46,0.21,88.8,31.04,60.39,6
37.63,18.77,95.73,11.33,15.33,3.33,0.44,0.29,88.8,31.04,60.39,7
35.29,19.71,95.73,8.7,12.39,2.41,0.52,0.25,88.8,31.04,60.39,8
33.26,17.39,95.73,11.67,20.11,3.63,0.5,0.18,88.8,31.04,60.39,9
24.42,14.12,95.73,15.08,18.2,1.75,0.57,0.11,88.8,31.04,60.39,10
21.17,11.83,95.73,11.23,18.95,2.97,0.31,0.1,88.8,31.04,60.39,11
31.98,18.4,95.73,11.88,19.49,2.98,0.49,0.25,88.8,31.04,60.39,12
1.2,0.5,24.79,1.27,1.56,2,0.09,0.03,1172.61,48.6,725.34,1
2.25,1.13,24.79,2.41,4.61,3.41,0.21,0.08,1172.61,48.6,725.34,2
1.92,0.98,24.79,1.47,2.08,3.06,0.33,0.04,1172.61,48.6,725.34,3
2.26,1.5,24.79,2.41,3.36,2.25,0.35,0.11,1172.61,48.6,725.34,4
7.58,4.19,24.79,4.06,6.32,2.99,0.51,0.17,1172.61,48.6,725.34,5
9.64,5.61,24.79,5.73,8.59,2.37,0.41,0.18,1172.61,48.6,725.34,6
8.79,4.47,24.79,3.18,4.56,2.95,0.35,0.13,1172.61,48.6,725.34,7
9.23,3.22,24.79,3.47,4.81,1.86,0.48,0.08,1172.61,48.6,725.34,8
5.15,2.53,24.79,5.19,7.11,1.87,0.43,0.09,1172.61,48.6,725.34,9
2.44,1.38,24.79,2.12,3.35,2.68,0.21,0.09,1172.61,48.6,725.34,10
2.61,1.38,24.79,1.51,1.43,1.12,0.32,0.06,1172.61,48.6,725.34,11
0.84,0.5,24.79,0.92,1.05,2.57,0.15,0.06,1172.61,48.6,725.34,12
19.28,10.88,87.75,12.62,18.89,2.51,0.37,0.13,25.17,30.85,55.98,1
33.93,15.76,87.75,14.33,19.44,2.06,0.5,0.15,25.17,30.85,55.98,2
23.48,13.45,87.75,9.02,13.18,2.35,0.38,0.14,25.17,30.85,55.98,3
17.6,8.15,87.75,13.05,19.52,2.2,0.27,0.05,25.17,30.85,55.98,4
21.92,12.53,87.75,11.47,16.62,2.95,0.62,0.13,25.17,30.85,55.98,5
22.59,12.97,87.75,7.15,11.15,3.74,0.54,0.16,25.17,30.85,55.98,6
28.13,13.81,87.75,7.88,11.96,3.6,0.54,0.25,25.17,30.85,55.98,7
45.12,19.37,87.75,8.56,12.09,2.91,0.63,0.39,25.17,30.85,55.98,8
31.9,17.13,87.75,12.69,19.78,2.84,0.54,0.2,25.17,30.85,55.98,9
14.28,7.49,87.75,7.54,9.76,2.36,0.52,0.08,25.17,30.85,55.98,10
15.08,6.45,87.75,9.68,12.98,1.94,0.39,0.06,25.17,30.85,55.98,11
29.42,17.7,87.75,11.65,20.07,2.77,0.55,0.17,25.17,30.85,55.98,12
3.07,2.14,23.57,2.49,3.53,3.25,0.51,0.19,1263.06,42.54,848.17,1
2.47,1.61,23.57,1.77,2.22,2.76,0.34,0.18,1263.06,42.54,848.17,2
4.42,2.78,23.57,2.73,3.66,3.53,0.43,0.23,1263.06,42.54,848.17,3
4.09,2.53,23.57,2.65,2.83,1.77,0.43,0.24,1263.06,42.54,848.17,4
7.8,4.2,23.57,4.7,6.43,2.7,0.48,0.17,1263.06,42.54,848.17,5
3.95,2.28,23.57,3.59,4.72,1.96,0.44,0.1,1263.06,42.54,848.17,6
7.08,2.77,23.57,2.74,3.44,2.15,0.51,0.07,1263.06,42.54,848.17,7
4.88,2.59,23.57,2.69,3.34,1.98,0.46,0.11,1263.06,42.54,848.17,8
7.33,4.25,23.57,6.04,7.57,1.69,0.44,0.08,1263.06,42.54,848.17,9
5.71,3.69,23.57,4.05,5.87,2.35,0.49,0.17,1263.06,42.54,848.17,10
3.73,2.65,23.57,3.07,3.83,1.87,0.45,0.13,1263.06,42.54,848.17,11
2.98,1.94,23.57,2.33,2.66,1.88,0.41,0.26,1263.06,42.54,848.17,12
7.71,4.89,41.53,7.42,11.25,2.74,0.56,0.16,4.04,38.21,10.79,1
6.53,4.31,41.53,6.8,8.37,2.11,0.52,0.17,4.04,38.21,10.79,2
8.42,4.51,41.53,3.83,5.14,2.02,0.46,0.17,4.04,38.21,10.79,3
5.11,3.49,41.53,3.92,5.26,2.37,0.37,0.13,4.04,38.21,10.79,4
2.01,1.05,41.53,3.18,3.92,2.15,0.42,0.04,4.04,38.21,10.79,5
1.23,0.56,41.53,2.01,1.74,0.58,0.3,0.02,4.04,38.21,10.79,6
0.25,0.02,41.53,0.25,0,0,0,0,4.04,38.21,10.79,7
0.47,0.11,41.53,0.7,0.73,0.92,0,0.01,4.04,38.21,10.79,8
0.99,0.58,41.53,1.07,2.48,3.94,0.15,0.06,4.04,38.21,10.79,9
5.48,3.24,41.53,3.11,4.67,2.02,0.51,0.1,4.04,38.21,10.79,10
10.93,6.71,41.53,3.8,5.68,2.95,0.36,0.16,4.04,38.21,10.79,11
7.97,5.29,41.53,6.45,11.31,3.67,0.46,0.2,4.04,38.21,10.79,12
1.05,0.81,24.43,1,0.92,1.32,0.27,0.1,1350.12,45.79,869.99,1
1.18,0.77,24.43,0.93,0.88,1.8,0.37,0.13,1350.12,45.79,869.99,2
4.26,2.87,24.43,1.99,2.48,2.28,0.29,0.17,1350.12,45.79,869.99,3
4.17,2.76,24.43,2.25,2.18,1.69,0.45,0.27,1350.12,45.79,869.99,4
6.71,4.26,24.43,3.28,4.15,2.85,0.5,0.25,1350.12,45.79,869.99,5
15.32,7.73,24.43,4.32,5.02,1.7,0.53,0.23,1350.12,45.79,869.99,6
8.42,4.62,24.43,2.3,3.24,1.97,0.42,0.17,1350.12,45.79,869.99,7
12.36,6.67,24.43,3.52,4.92,1.95,0.44,0.15,1350.12,45.79,869.99,8
3.78,2.39,24.43,2.94,3.21,1.83,0.45,0.13,1350.12,45.79,869.99,9
3.12,2.11,24.43,1.69,2.3,3,0.31,0.18,1350.12,45.79,869.99,10
4.46,2.66,24.43,2.61,3.8,2.45,0.27,0.13,1350.12,45.79,869.99,11
1.44,1.08,24.43,1.71,1.9,2.03,0.25,0.14,1350.12,45.79,869.99,12
4.1,2.52,27.4,4.67,6.21,2.24,0.33,0.11,176.65,41.52,488.01,1
4.87,2.94,27.4,4.64,9.23,3.31,0.39,0.1,176.65,41.52,488.01,2
5.82,3.29,27.4,3.47,4.85,2.71,0.48,0.11,176.65,41.52,488.01,3
7.14,4.06,27.4,3.78,3.94,1.61,0.33,0.14,176.65,41.52,488.01,4
18.95,9.97,27.4,5.89,7.58,2.08,0.46,0.12,176.65,41.52,488.01,5
14.46,9.12,27.4,6.63,12.15,3.49,0.28,0.11,176.65,41.52,488.01,6
16.73,7.17,27.4,4.02,4.63,1.28,0.27,0.13,176.65,41.52,488.01,7
12.92,6.02,27.4,4.33,5.51,1.97,0.29,0.08,176.65,41.52,488.01,8
11.9,5.98,27.4,7.41,8.8,2.29,0.36,0.1,176.65,41.52,488.01,9
8.26,5.26,27.4,5.41,7.95,3.08,0.45,0.11,176.65,41.52,488.01,10
7.19,4,27.4,4.37,6.6,3.42,0.35,0.12,176.65,41.52,488.01,11
4.88,3.53,27.4,3.66,4.35,1.66,0.42,0.1,176.65,41.52,488.01,12
0.9,0.69,40.73,1.05,1.06,1.57,0.27,0.12,1505.11,44.38,1250,1
1.14,0.77,40.73,0.86,0.94,2.35,0.38,0.17,1505.11,44.38,1250,2
3.15,2.01,40.73,2.57,3.87,2.23,0.42,0.16,1505.11,44.38,1250,3
5.31,3.14,40.73,3.02,5,4.05,0.48,0.21,1505.11,44.38,1250,4
9.18,5.69,40.73,6.32,11.3,4.16,0.59,0.3,1505.11,44.38,1250,5
13.37,8.04,40.73,4.58,6.87,3.66,0.47,0.19,1505.11,44.38,1250,6
15.71,8.5,40.73,3.72,6.23,2.57,0.34,0.19,1505.11,44.38,1250,7
11.74,6.13,40.73,2.85,4.89,3.82,0.42,0.19,1505.11,44.38,1250,8
6.33,3.67,40.73,4,6.56,3.5,0.42,0.14,1505.11,44.38,1250,9
6.9,3.85,40.73,3.6,6.25,3.27,0.39,0.14,1505.11,44.38,1250,10
1.82,1.29,40.73,1.83,2.83,2.76,0.41,0.09,1505.11,44.38,1250,11
