MX.5P_up,Fournier Coeff,MEAN P,S DEV P,SKEW P,P(W/W),P(W/D),Elev,Lat,Coastal Prox,Month
0.21,9.16,2.79,4.14,2.53,0.53,0.11,695.6,34.99,122.79,1
0.28,9.16,2.86,4.63,1.99,0.25,0.11,695.6,34.99,122.79,2
0.08,9.16,3.49,3.78,1.01,0.12,0.03,695.6,34.99,122.79,3
0.05,9.16,2.42,1.98,1.08,0.17,0.02,695.6,34.99,122.79,4
0.03,9.16,1.91,0.9,0,0,0.01,695.6,34.99,122.79,5
0.14,9.16,5.71,7.36,0,0,0.01,695.6,34.99,122.79,7
0.1,9.16,5.8,7.93,0.65,0.5,0.01,695.6,34.99,122.79,10
0.08,9.16,0.99,0.84,0.25,0.17,0.02,695.6,34.99,122.79,11
0.09,9.16,2.46,2.29,1.23,0.33,0.04,695.6,34.99,122.79,12
0.18,7.45,3.05,3.52,2.07,0.36,0.07,584.59,34.85,171.21,1
0.22,7.45,3.65,5.7,3.05,0.17,0.08,584.59,34.85,171.21,2
0.11,7.45,2.07,2.8,1.51,0.07,0.04,584.59,34.85,171.21,3
0.07,7.45,2.68,2.01,0.46,0.2,0.03,584.59,34.85,171.21,4
0.05,7.45,1.69,2.82,1.53,0.17,0.02,584.59,34.85,171.21,5
0.1,7.45,1.75,1.94,1.79,0.4,0.04,584.59,34.85,171.21,7
0.16,7.45,4.13,5.96,1.75,0.19,0.04,584.59,34.85,171.21,8
0.09,7.45,3.84,4.43,1.12,0.38,0.02,584.59,34.85,171.21,9
0.12,7.45,3.45,4.82,1.69,0.47,0.02,584.59,34.85,171.21,10
0.12,7.45,3.74,5.96,1.91,0.29,0.04,584.59,34.85,171.21,11
0.26,7.45,5.18,6.23,1.58,0.32,0.07,584.59,34.85,171.21,12
0.68,21.01,8.67,12.01,2.92,0.33,0.09,25.03,34.22,12,1
0.54,21.01,7.17,8.23,1.93,0.32,0.1,25.03,34.22,12,2
0.65,21.01,6.61,14.39,3.56,0.43,0.05,25.03,34.22,12,3
0.28,21.01,5.84,7.49,1.31,0.24,0.04,25.03,34.22,12,4
0.07,21.01,1.33,1.68,1.58,0.11,0.02,25.03,34.22,12,5
0.03,21.01,4.06,4.31,0,0,0.01,25.03,34.22,12,7
0,21.01,0.42,0.15,-0.58,0,0.01,25.03,34.22,12,8
0.03,21.01,1.74,3.51,1.63,0,0.02,25.03,34.22,12,9
0.09,21.01,3.48,4.92,1.48,0.21,0.03,25.03,34.22,12,10
0.36,21.01,5.17,5.96,1.33,0.22,0.07,25.03,34.22,12,11
0.64,21.01,5.77,8.69,3.13,0.27,0.12,25.03,34.22,12,12
0.38,10.75,5.18,8.09,3.24,0.46,0.06,120.34,33.62,206.79,1
0.23,10.75,3.99,6.08,2.14,0.23,0.08,120.34,33.62,206.79,2
0.17,10.75,6.58,6.54,0.68,0.33,0.01,120.34,33.62,206.79,3
0.02,10.75,1.23,1,0.96,0,0.02,120.34,33.62,206.79,4
0.08,10.75,2.87,3.77,1.29,0.4,0.02,120.34,33.62,206.79,5
0.02,10.75,0.64,0.54,0,0,0.01,120.34,33.62,206.79,6
0.29,10.75,6.84,10.04,2.42,0.35,0.04,120.34,33.62,206.79,7
0.22,10.75,2.48,3.01,1.33,0.21,0.06,120.34,33.62,206.79,8
0.08,10.75,1.72,1.77,1.35,0.3,0.05,120.34,33.62,206.79,9
0.13,10.75,2.32,2.36,0.81,0.41,0.03,120.34,33.62,206.79,10
0.12,10.75,3.02,4.82,2.03,0.47,0.03,120.34,33.62,206.79,11
0.5,10.75,5.47,7.47,2.11,0.36,0.07,120.34,33.62,206.79,12
0.61,22.86,8.24,11.9,2.94,0.45,0.09,191.61,33.98,47.85,1
0.64,22.86,5.49,8.13,2.98,0.37,0.14,191.61,33.98,47.85,2
0.24,22.86,3.77,3.95,1.45,0.24,0.05,191.61,33.98,47.85,3
0.15,22.86,2.43,2.93,1.35,0.15,0.05,191.61,33.98,47.85,4
0.26,22.86,5.73,5.76,0.84,0.35,0.04,191.61,33.98,47.85,5
0.24,22.86,5.59,6.5,0.89,0.25,0.01,191.61,33.98,47.85,7
0.01,22.86,0.68,0.39,-0.31,0,0.01,191.61,33.98,47.85,8
0.07,22.86,5.4,8.77,0.99,0,0.01,191.61,33.98,47.85,9
0.14,22.86,2.43,3.36,3.41,0.38,0.04,191.61,33.98,47.85,10
0.3,22.86,3.25,6.04,3.02,0.17,0.09,191.61,33.98,47.85,11
0.61,22.86,7.73,11.23,2.25,0.33,0.11,191.61,33.98,47.85,12
0.08,40.07,2.19,2.47,1.56,0.12,0.02,990.61,32.33,781.08,1
0.19,40.07,4.78,6.19,2.12,0.33,0.04,990.61,32.33,781.08,2
0.29,40.07,5.48,15.59,3.12,0.29,0.03,990.61,32.33,781.08,3
0.19,40.07,3.26,4.22,1.56,0.22,0.04,990.61,32.33,781.08,4
0.53,40.07,8.68,11.93,1.55,0.41,0.06,990.61,32.33,781.08,5
0.56,40.07,5.65,6.9,1.81,0.41,0.11,990.61,32.33,781.08,6
0.84,40.07,9.43,11.54,1.96,0.38,0.16,990.61,32.33,781.08,7
0.92,40.07,7.69,11.55,2.53,0.47,0.15,990.61,32.33,781.08,8
0.99,40.07,9.29,12.35,2.04,0.45,0.1,990.61,32.33,781.08,9
0.28,40.07,4.14,4.89,2.19,0.37,0.06,990.61,32.33,781.08,10
0.11,40.07,3.41,3.24,0.68,0.42,0.03,990.61,32.33,781.08,11
0.36,40.07,4.9,5.73,1.68,0.39,0.07,990.61,32.33,781.08,12
0.17,58.45,1.35,1.35,1.52,0.33,0.2,514.15,43.77,1550.94,1
0.45,58.45,2.78,3.95,2.19,0.51,0.18,514.15,43.77,1550.94,2
0.52,58.45,3.29,4.93,2.37,0.33,0.23,514.15,43.77,1550.94,3
0.94,58.45,5.51,7.47,2.11,0.43,0.28,514.15,43.77,1550.94,4
0.82,58.45,5.81,7.87,1.97,0.53,0.31,514.15,43.77,1550.94,5
1.83,58.45,11.75,17.93,1.95,0.46,0.23,514.15,43.77,1550.94,6
0.91,58.45,6.98,12.22,3.12,0.33,0.21,514.15,43.77,1550.94,7
1.28,58.45,9.39,20.1,4.23,0.28,0.21,514.15,43.77,1550.94,8
0.7,58.45,4.45,8.17,2.9,0.36,0.17,514.15,43.77,1550.94,9
0.79,58.45,6.95,10.34,1.8,0.46,0.15,514.15,43.77,1550.94,10
0.16,58.45,1.66,2.49,3.05,0.25,0.11,514.15,43.77,1550.94,11
0.46,58.45,2.77,4.94,3.93,0.4,0.18,514.15,43.77,1550.94,12
0.46,74.34,3.81,8.37,3.92,0.3,0.09,280.75,36.77,785.32,1
0.97,74.34,5.15,8.3,2.89,0.5,0.24,280.75,36.77,785.32,2
0.98,74.34,7.43,12.06,3.27,0.45,0.2,280.75,36.77,785.32,3
1.04,74.34,8.69,11.15,1.98,0.55,0.25,280.75,36.77,785.32,4
1.63,74.34,10.71,12.53,2.27,0.52,0.23,280.75,36.77,785.32,5
1.39,74.34,11.78,11.19,1.5,0.33,0.15,280.75,36.77,785.32,6
1.7,74.34,11.44,15.77,1.93,0.38,0.16,280.75,36.77,785.32,7
1.72,74.34,11,18.66,3.87,0.46,0.19,280.75,36.77,785.32,8
1.24,74.34,10.02,18.3,3.2,0.37,0.16,280.75,36.77,785.32,9
1.33,74.34,9.96,15.77,2.89,0.38,0.2,280.75,36.77,785.32,10
0.8,74.34,7.34,9.51,1.82,0.44,0.16,280.75,36.77,785.32,11
0.45,74.34,4.45,4.73,1.57,0.32,0.14,280.75,36.77,785.32,12
0.15,14.55,1.93,1.81,1.18,0.47,0.07,1387.19,38.75,876.88,1
0.18,14.55,2.08,2.51,2.42,0.27,0.1,1387.19,38.75,876.88,2
0.17,14.55,1.87,2.75,2.49,0.22,0.07,1387.19,38.75,876.88,3
0.15,14.55,1.96,1.8,0.88,0.33,0.09,1387.19,38.75,876.88,4
0.31,14.55,2.83,3.84,3.47,0.5,0.11,1387.19,38.75,876.88,5
0.18,14.55,4.54,5.68,2.29,0.5,0.03,1387.19,38.75,876.88,6
0.41,14.55,2.48,3.32,3.88,0.66,0.1,1387.19,38.75,876.88,7
0.3,14.55,2.84,3.62,3.11,0.51,0.13,1387.19,38.75,876.88,8
0.46,14.55,4.15,7.28,5.4,0.49,0.11,1387.19,38.75,876.88,9
0.53,14.55,4.01,5.17,2.26,0.39,0.1,1387.19,38.75,876.88,10
0.19,14.55,2.66,3.1,2.38,0.46,0.07,1387.19,38.75,876.88,11
0.26,14.55,2.92,3.59,1.88,0.35,0.11,1387.19,38.75,876.88,12
0.22,44.22,2.87,3.65,1.31,0.24,0.06,403.26,39.29,1075.78,1
0.35,44.22,3.43,3.88,1.04,0.17,0.09,403.26,39.29,1075.78,2
0.5,44.22,4.48,5.52,2.81,0.4,0.15,403.26,39.29,1075.78,3
0.46,44.22,5.53,7.14,1.94,0.32,0.14,403.26,39.29,1075.78,4
0.99,44.22,8.73,11.73,1.94,0.43,0.15,403.26,39.29,1075.78,5
1.34,44.22,12.69,19.46,2.4,0.3,0.14,403.26,39.29,1075.78,6
0.58,44.22,3.81,4.63,1.71,0.44,0.21,403.26,39.29,1075.78,7
1.55,44.22,11.08,20.55,2.7,0.28,0.19,403.26,39.29,1075.78,8
1.2,44.22,6.4,11.93,2.81,0.38,0.18,403.26,39.29,1075.78,9
0.56,44.22,4.99,7.79,2.08,0.5,0.09,403.26,39.29,1075.78,10
0.44,44.22,6.5,8.47,1.25,0.32,0.06,403.26,39.29,1075.78,11
0.95,44.22,7.93,15.03,3.45,0.36,0.1,403.26,39.29,1075.78,12
0.5,26.85,4.86,6.87,2.47,0.47,0.17,6.04,37.99,6.49,1
0.46,26.85,4.67,6.19,2.46,0.57,0.18,6.04,37.99,6.49,2
0.36,26.85,3.69,4,1.4,0.46,0.08,6.04,37.99,6.49,3
0.37,26.85,3.74,4.5,2.07,0.32,0.09,6.04,37.99,6.49,4
0.07,26.85,1.8,2.14,2.32,0.2,0.03,6.04,37.99,6.49,5
0.03,26.85,3.51,3.54,0.4,0.4,0.01,6.04,37.99,6.49,6
0.02,26.85,3.17,3.41,0,0,0.01,6.04,37.99,6.49,9
0.36,26.85,4.22,5.54,2.43,0.49,0.13,6.04,37.99,6.49,10
0.44,26.85,2.64,5.02,3.78,0.25,0.17,6.04,37.99,6.49,11
0.53,26.85,4.77,7.71,3.33,0.45,0.12,6.04,37.99,6.49,12
0.57,22.94,4.89,6.95,1.96,0.4,0.1,482.21,33.41,2,1
0.72,22.94,5.53,9.52,3.69,0.49,0.15,482.21,33.41,2,2
0.48,22.94,3.56,5.86,2.21,0.44,0.09,482.21,33.41,2,3
0.29,22.94,3.15,4.57,2.33,0.43,0.11,482.21,33.41,2,4
0.19,22.94,1.54,2.16,3.08,0.51,0.08,482.21,33.41,2,5
0.02,22.94,0.51,0.4,1.65,0.29,0.07,482.21,33.41,2,6
0.03,22.94,1.52,2.43,1.88,0.33,0.02,482.21,33.41,2,7
0,22.94,0.25,0,0,0.25,0.02,482.21,33.41,2,8
0.07,22.94,3.23,7.76,1.89,0.14,0.02,482.21,33.41,2,9
0.13,22.94,1.58,2.28,2.48,0.41,0.05,482.21,33.41,2,10
0.37,22.94,3.68,5.84,1.82,0.27,0.07,482.21,33.41,2,11
0.8,22.94,5.7,8.06,2.16,0.43,0.1,482.21,33.41,2,12
0.29,32.02,4.66,5.18,1.22,0.29,0.07,701.89,30.05,517.11,1
0.46,32.02,4.57,6.62,2.04,0.32,0.1,701.89,30.05,517.11,2
0.62,32.02,8.1,11.42,1.61,0.28,0.07,701.89,30.05,517.11,3
0.44,32.02,4.58,5.59,1.55,0.41,0.07,701.89,30.05,517.11,4
0.59,32.02,6.63,10,2.06,0.37,0.13,701.89,30.05,517.11,5
0.68,32.02,6.17,8.74,2.8,0.46,0.13,701.89,30.05,517.11,6
0.94,32.02,10.29,15.53,2.28,0.49,0.08,701.89,30.05,517.11,7
0.72,32.02,5.23,7.39,2.21,0.5,0.14,701.89,30.05,517.11,8
0.81,32.02,6.29,8.39,1.78,0.44,0.14,701.89,30.05,517.11,9
0.58,32.02,6.9,9.63,2.53,0.38,0.09,701.89,30.05,517.11,10
0.19,32.02,3.7,5.84,2.79,0.35,0.05,701.89,30.05,517.11,11
0.24,32.02,2.48,3.21,1.71,0.26,0.07,701.89,30.05,517.11,12
0.33,53.83,4.07,6.63,2.58,0.33,0.09,594.06,34.43,720.79,1
0.44,53.83,5.49,8.86,3.31,0.21,0.11,594.06,34.43,720.79,2
0.57,53.83,5.78,7.02,1.79,0.45,0.1,594.06,34.43,720.79,3
1.15,53.83,9.98,13.95,2.44,0.31,0.18,594.06,34.43,720.79,4
1.36,53.83,11.57,16.5,2.38,0.36,0.18,594.06,34.43,720.79,5
1.41,53.83,11.56,14.67,2.05,0.39,0.17,594.06,34.43,720.79,6
0.89,53.83,8.62,12.17,2.34,0.32,0.15,594.06,34.43,720.79,7
1.11,53.83,9.09,11.63,2.38,0.45,0.14,594.06,34.43,720.79,8
1.24,53.83,7.83,13.13,3.64,0.38,0.19,594.06,34.43,720.79,9
1.22,53.83,8.63,14.39,2.03,0.42,0.11,594.06,34.43,720.79,10
0.46,53.83,6.96,12.19,3.11,0.29,0.07,594.06,34.43,720.79,11
0.52,53.83,4.02,6.23,2.18,0.36,0.1,594.06,34.43,720.79,12
1.78,127.41,17.68,25.13,2.95,0.25,0.23,12.68,30.07,19.58,1
1.3,127.41,7.31,9.91,1.74,0.35,0.21,12.68,30.07,19.58,2
1.75,127.41,11.26,16.91,2.32,0.33,0.2,12.68,30.07,19.58,3
2.12,127.41,15.74,34.17,2.93,0.31,0.14,12.68,30.07,19.58,4
1.77,127.41,16.62,24.11,2.04,0.5,0.12,12.68,30.07,19.58,5
2.22,127.41,12.58,21.38,3.5,0.51,0.26,12.68,30.07,19.58,6
1.65,127.41,14.31,15.8,1.42,0.53,0.37,12.68,30.07,19.58,7
3.04,127.41,15.59,32.07,5.99,0.6,0.44,12.68,30.07,19.58,8
1.93,127.41,9.54,17.67,3.59,0.48,0.27,12.68,30.07,19.58,9
0.87,127.41,6.08,8.82,2.23,0.55,0.16,12.68,30.07,19.58,10
0.82,127.41,6.23,11.16,3.1,0.23,0.16,12.68,30.07,19.58,11
1.16,127.41,8.39,10.79,1.33,0.34,0.22,12.68,30.07,19.58,12
0.72,41.53,7.42,11.25,2.74,0.56,0.16,4.04,38.21,10.79,1
0.66,41.53,6.8,8.37,2.11,0.52,0.17,4.04,38.21,10.79,2
0.47,41.53,3.83,5.14,2.02,0.46,0.17,4.04,38.21,10.79,3
0.53,41.53,3.92,5.26,2.37,0.37,0.13,4.04,38.21,10.79,4
0.15,41.53,3.18,3.92,2.15,0.42,0.04,4.04,38.21,10.79,5
0.06,41.53,2.01,1.74,0.58,0.3,0.02,4.04,38.21,10.79,6
0,41.53,0.25,0,0,0,0,4.04,38.21,10.79,7
0.01,41.53,0.7,0.73,0.92,0,0.01,4.04,38.21,10.79,8
0.08,41.53,1.07,2.48,3.94,0.15,0.06,4.04,38.21,10.79,9
0.33,41.53,3.11,4.67,2.02,0.51,0.1,4.04,38.21,10.79,10
0.48,41.53,3.8,5.68,2.95,0.36,0.16,4.04,38.21,10.79,11
0.78,41.53,6.45,11.31,3.67,0.46,0.2,4.04,38.21,10.79,12
0.79,26.64,4.18,6.25,2.44,0.44,0.15,95.88,33.13,4.47,1
0.76,26.64,5.13,11.06,3.95,0.4,0.17,95.88,33.13,4.47,2
0.3,26.64,2.23,4.18,2.27,0.22,0.1,95.88,33.13,4.47,3
0.19,26.64,3.02,3.51,1.37,0.19,0.08,95.88,33.13,4.47,4
0.17,26.64,2.76,4.54,2.09,0.39,0.04,95.88,33.13,4.47,5
0.01,26.64,0.57,0.48,0.83,0,0.01,95.88,33.13,4.47,6
0.05,26.64,2.85,3.24,0.84,0.5,0.02,95.88,33.13,4.47,7
0.01,26.64,0.89,0.53,0,0,0.01,95.88,33.13,4.47,8
0.09,26.64,1.36,2.2,2.89,0.25,0.09,95.88,33.13,4.47,9
0.27,26.64,2.64,4.9,3.69,0.34,0.11,95.88,33.13,4.47,10
0.5,26.64,3.77,7.78,4.07,0.35,0.14,95.88,33.13,4.47,11
0.74,26.64,6.51,11.45,2.53,0.43,0.15,95.88,33.13,4.47,12
0.66,67.18,5.85,9.22,2.27,0.47,0.13,385.87,30.74,270.77,1
0.67,67.18,6.28,9.57,2.1,0.28,0.1,385.87,30.74,270.77,2
1.27,67.18,10.71,15.57,2.69,0.51,0.14,385.87,30.74,270.77,3
0.91,67.18,6.21,8.37,2.02,0.35,0.18,385.87,30.74,270.77,4
1.67,67.18,12.38,15.21,1.84,0.41,0.19,385.87,30.74,270.77,5
1.11,67.18,10.13,19.71,4.35,0.46,0.13,385.87,30.74,270.77,6
0.65,67.18,7.18,8.87,1.77,0.57,0.1,385.87,30.74,270.77,7
0.93,67.18,10.41,14.58,2.74,0.53,0.13,385.87,30.74,270.77,8
1.45,67.18,9.8,16.05,2.68,0.55,0.14,385.87,30.74,270.77,9
2,67.18,16.3,25.68,2.46,0.49,0.12,385.87,30.74,270.77,10
0.74,67.18,7.64,11.11,1.95,0.49,0.12,385.87,30.74,270.77,11
0.56,67.18,4.1,5.91,2.59,0.39,0.12,385.87,30.74,270.77,12
0.25,39.93,3.56,4.42,1.86,0.33,0.09,927,35.7,893.56,1
0.28,39.93,3.72,3.9,1.41,0.33,0.1,927,35.7,893.56,2
0.49,39.93,5.39,8.49,2.96,0.4,0.11,927,35.7,893.56,3
0.91,39.93,9.48,12.68,2.13,0.42,0.13,927,35.7,893.56,4
0.83,39.93,8.21,10.73,1.88,0.31,0.17,927,35.7,893.56,5
0.77,39.93,6.26,9.62,2.89,0.43,0.12,927,35.7,893.56,6
0.83,39.93,8.29,10.01,1.6,0.38,0.14,927,35.7,893.56,7
1,39.93,7.99,12.53,3.49,0.48,0.17,927,35.7,893.56,8
0.75,39.93,6.33,8.57,2.28,0.48,0.14,927,35.7,893.56,9
0.93,39.93,8.32,10.97,1.67,0.39,0.11,927,35.7,893.56,10
0.39,39.93,5.6,14.04,4.18,0.33,0.06,927,35.7,893.56,11
0.39,39.93,3.36,5.61,2.46,0.3,0.08,927,35.7,893.56,12
0.41,27.4,4.67,6.21,2.24,0.33,0.11,176.65,41.52,488.01,1
0.48,27.4,4.64,9.23,3.31,0.39,0.1,176.65,41.52,488.01,2
0.45,27.4,3.47,4.85,2.71,0.48,0.11,176.65,41.52,488.01,3
0.46,27.4,3.78,3.94,1.61,0.33,0.14,176.65,41.52,488.01,4
0.62,27.4,5.89,7.58,2.08,0.46,0.12,176.65,41.52,488.01,5
0.72,27.4,6.63,12.15,3.49,0.28,0.11,176.65,41.52,488.01,6
0.54,27.4,4.02,4.63,1.28,0.27,0.13,176.65,41.52,488.01,7
0.43,27.4,4.33,5.51,1.97,0.29,0.08,176.65,41.52,488.01,8
0.63,27.4,7.41,8.8,2.29,0.36,0.1,176.65,41.52,488.01,9
0.61,27.4,5.41,7.95,3.08,0.45,0.11,176.65,41.52,488.01,10
0.45,27.4,4.37,6.6,3.42,0.35,0.12,176.65,41.52,488.01,11
0.57,27.4,3.66,4.35,1.66,0.42,0.1,176.65,41.52,488.01,12
1.31,87.75,12.62,18.89,2.51,0.37,0.13,25.17,30.85,55.98,1
1.9,87.75,14.33,19.44,2.06,0.5,0.15,25.17,30.85,55.98,2
1.17,87.75,9.02,13.18,2.35,0.38,0.14,25.17,30.85,55.98,3
1,87.75,13.05,19.52,2.2,0.27,0.05,25.17,30.85,55.98,4
1.38,87.75,11.47,16.62,2.95,0.62,0.13,25.17,30.85,55.98,5
1.03,87.75,7.15,11.15,3.74,0.54,0.16,25.17,30.85,55.98,6
1.32,87.75,7.88,11.96,3.6,0.54,0.25,25.17,30.85,55.98,7
1.82,87.75,8.56,12.09,2.91,0.63,0.39,25.17,30.85,55.98,8
1.77,87.75,12.69,19.78,2.84,0.54,0.2,25.17,30.85,55.98,9
0.9,87.75,7.54,9.76,2.36,0.52,0.08,25.17,30.85,55.98,10
0.67,87.75,9.68,12.98,1.94,0.39,0.06,25.17,30.85,55.98,11
2.07,87.75,11.65,20.07,2.77,0.55,0.17,25.17,30.85,55.98,12
1.18,95.73,10.84,16.24,2.47,0.4,0.17,88.8,31.04,60.39,1
2.16,95.73,15.35,22.89,3.21,0.3,0.22,88.8,31.04,60.39,2
2.01,95.73,15.53,32.93,6.13,0.43,0.17,88.8,31.04,60.39,3
1.24,95.73,12.66,20.41,2.55,0.27,0.14,88.8,31.04,60.39,4
1.43,95.73,10.88,13.91,1.6,0.39,0.18,88.8,31.04,60.39,5
1.12,95.73,9.37,13.43,2.31,0.46,0.21,88.8,31.04,60.39,6
1.41,95.73,11.33,15.33,3.33,0.44,0.29,88.8,31.04,60.39,7
1.29,95.73,8.7,12.39,2.41,0.52,0.25,88.8,31.04,60.39,8
1.79,95.73,11.67,20.11,3.63,0.5,0.18,88.8,31.04,60.39,9
1.75,95.73,15.08,18.2,1.75,0.57,0.11,88.8,31.04,60.39,10
1.44,95.73,11.23,18.95,2.97,0.31,0.1,88.8,31.04,60.39,11
2.12,95.73,11.88,19.49,2.98,0.49,0.25,88.8,31.04,60.39,12
0.58,17.15,7.97,13.44,3.25,0.53,0.06,1252.39,37.37,310.67,1
0.38,17.15,6.11,6.45,1.36,0.37,0.07,1252.39,37.37,310.67,2
0.2,17.15,2.28,4,3.48,0.4,0.06,1252.39,37.37,310.67,3
0.23,17.15,3.11,5.12,2.59,0.24,0.05,1252.39,37.37,310.67,4
0.12,17.15,1.57,2.81,4.27,0.51,0.06,1252.39,37.37,310.67,5
0.2,17.15,4.93,8.83,3,0.34,0.04,1252.39,37.37,310.67,6
0.18,17.15,2.3,3.03,2.41,0.39,0.06,1252.39,37.37,310.67,7
0.12,17.15,2.14,3.65,3.41,0.59,0.03,1252.39,37.37,310.67,8
0.08,17.15,1.81,3.01,3.27,0.36,0.03,1252.39,37.37,310.67,9
0.35,17.15,4.11,6.21,2.69,0.44,0.08,1252.39,37.37,310.67,10
0.19,17.15,3.64,4.5,1.86,0.31,0.04,1252.39,37.37,310.67,11
0.56,17.15,6.97,12.77,4.36,0.31,0.08,1252.39,37.37,310.67,12
0.06,40.37,0.94,1.16,2.99,0.29,0.06,1003.03,42.84,1566.56,1
0.12,40.37,1.46,1.5,1.61,0.25,0.16,1003.03,42.84,1566.56,2
0.46,40.37,4.25,6.48,2.44,0.27,0.14,1003.03,42.84,1566.56,3
0.53,40.37,5.09,5.36,1.25,0.49,0.25,1003.03,42.84,1566.56,4
0.9,40.37,5.9,8.12,2.73,0.54,0.28,1003.03,42.84,1566.56,5
0.78,40.37,4.9,7.07,2.37,0.46,0.29,1003.03,42.84,1566.56,6
0.43,40.37,3.84,5.19,2.33,0.49,0.17,1003.03,42.84,1566.56,7
0.45,40.37,3.96,4.87,2.34,0.5,0.18,1003.03,42.84,1566.56,8
0.48,40.37,4.15,6.78,4.13,0.52,0.13,1003.03,42.84,1566.56,9
0.36,40.37,3.2,4.1,2.09,0.36,0.18,1003.03,42.84,1566.56,10
0.2,40.37,2.65,2.67,1.74,0.32,0.08,1003.03,42.84,1566.56,11
0.12,40.37,1.49,1.4,1.52,0.26,0.08,1003.03,42.84,1566.56,12
0.11,24.43,1,0.92,1.32,0.27,0.1,1350.12,45.79,869.99,1
0.08,24.43,0.93,0.88,1.8,0.37,0.13,1350.12,45.79,869.99,2
0.24,24.43,1.99,2.48,2.28,0.29,0.17,1350.12,45.79,869.99,3
0.35,24.43,2.25,2.18,1.69,0.45,0.27,1350.12,45.79,869.99,4
0.46,24.43,3.28,4.15,2.85,0.5,0.25,1350.12,45.79,869.99,5
0.61,24.43,4.32,5.02,1.7,0.53,0.23,1350.12,45.79,869.99,6
0.26,24.43,2.3,3.24,1.97,0.42,0.17,1350.12,45.79,869.99,7
0.42,24.43,3.52,4.92,1.95,0.44,0.15,1350.12,45.79,869.99,8
0.28,24.43,2.94,3.21,1.83,0.45,0.13,1350.12,45.79,869.99,9
0.29,24.43,1.69,2.3,3,0.31,0.18,1350.12,45.79,869.99,10
0.26,24.43,2.61,3.8,2.45,0.27,0.13,1350.12,45.79,869.99,11
0.15,24.43,1.71,1.9,2.03,0.25,0.14,1350.12,45.79,869.99,12
0.32,23.57,2.49,3.53,3.25,0.51,0.19,1263.06,42.54,848.17,1
0.19,23.57,1.77,2.22,2.76,0.34,0.18,1263.06,42.54,848.17,2
0.38,23.57,2.73,3.66,3.53,0.43,0.23,1263.06,42.54,848.17,3
0.3,23.57,2.65,2.83,1.77,0.43,0.24,1263.06,42.54,848.17,4
0.66,23.57,4.7,6.43,2.7,0.48,0.17,1263.06,42.54,848.17,5
0.32,23.57,3.59,4.72,1.96,0.44,0.1,1263.06,42.54,848.17,6
0.2,23.57,2.74,3.44,2.15,0.51,0.07,1263.06,42.54,848.17,7
0.19,23.57,2.69,3.34,1.98,0.46,0.11,1263.06,42.54,848.17,8
0.54,23.57,6.04,7.57,1.69,0.44,0.08,1263.06,42.54,848.17,9
0.58,23.57,4.05,5.87,2.35,0.49,0.17,1263.06,42.54,848.17,10
0.39,23.57,3.07,3.83,1.87,0.45,0.13,1263.06,42.54,848.17,11
0.29,23.57,2.33,2.66,1.88,0.41,0.26,1263.06,42.54,848.17,12
0.04,24.79,1.27,1.56,2,0.09,0.03,1172.61,48.6,725.34,1
0.17,24.79,2.41,4.61,3.41,0.21,0.08,1172.61,48.6,725.34,2
0.12,24.79,1.47,2.08,3.06,0.33,0.04,1172.61,48.6,725.34,3
0.19,24.79,2.41,3.36,2.25,0.35,0.11,1172.61,48.6,725.34,4
0.54,24.79,4.06,6.32,2.99,0.51,0.17,1172.61,48.6,725.34,5
0.64,24.79,5.73,8.59,2.37,0.41,0.18,1172.61,48.6,725.34,6
0.26,24.79,3.18,4.56,2.95,0.35,0.13,1172.61,48.6,725.34,7
0.22,24.79,3.47,4.81,1.86,0.48,0.08,1172.61,48.6,725.34,8
0.43,24.79,5.19,7.11,1.87,0.43,0.09,1172.61,48.6,725.34,9
0.17,24.79,2.12,3.35,2.68,0.21,0.09,1172.61,48.6,725.34,10
0.1,24.79,1.51,1.43,1.12,0.32,0.06,1172.61,48.6,725.34,11
0.05,24.79,0.92,1.05,2.57,0.15,0.06,1172.61,48.6,725.34,12
0.12,47.01,1.79,2.75,3.44,0.12,0.08,1423.56,40.17,1336.54,1
0.08,47.01,1,1.21,3.33,0.19,0.11,1423.56,40.17,1336.54,2
0.31,47.01,2.45,4.73,3.71,0.35,0.13,1423.56,40.17,1336.54,3
0.67,47.01,4.59,7.18,2.75,0.51,0.21,1423.56,40.17,1336.54,4
1.02,47.01,5.63,7.25,2.2,0.55,0.29,1423.56,40.17,1336.54,5
0.75,47.01,6.05,7.38,1.96,0.42,0.21,1423.56,40.17,1336.54,6
0.91,47.01,5.91,7.34,1.82,0.52,0.24,1423.56,40.17,1336.54,7
0.71,47.01,5.25,7.77,2.5,0.53,0.24,1423.56,40.17,1336.54,8
0.51,47.01,4.15,5.6,1.98,0.41,0.16,1423.56,40.17,1336.54,9
0.42,47.01,4,4.84,1.52,0.35,0.11,1423.56,40.17,1336.54,10
0.17,47.01,2.54,2.8,2.09,0.29,0.08,1423.56,40.17,1336.54,11
0.08,47.01,1.24,1.27,1.57,0.14,0.08,1423.56,40.17,1336.54,12
0.08,40.73,1.05,1.06,1.57,0.27,0.12,1505.11,44.38,1250,1
0.08,40.73,0.86,0.94,2.35,0.38,0.17,1505.11,44.38,1250,2
0.34,40.73,2.57,3.87,2.23,0.42,0.16,1505.11,44.38,1250,3
0.43,40.73,3.02,5,4.05,0.48,0.21,1505.11,44.38,1250,4
